Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
Thorens Goumaz Adèle,G,VD,1971-12-15,927.0,52.0
Ruiz Rebecca Ana,S,VD,1982-02-04,925.0,51.6
Seiler Graf Priska,S,ZH,1968-08-29,932.0,51.5
Munz Martina,S,SH,1955-12-26,923.0,51.5
Graf Maya,G,BL,1962-02-28,931.0,51.5
Jans Beat,S,BS,1964-07-12,920.0,51.4
Fehlmann Rielle Laurence,S,GE,1955-09-11,918.0,51.4
Häsler Christine,G,BE,1963-01-11,926.0,51.4
Reynard Mathias,S,VS,1987-09-07,920.0,51.2
Glättli Balthasar,G,ZH,1972-02-12,924.0,51.2
Friedl Claudia,S,SG,1960-07-19,923.0,51.2
de la Reussille Denis,G,NE,1960-10-24,923.0,51.2
Schenker Silvia,S,BS,1954-01-17,919.0,51.2
Mazzone Lisa,G,GE,1988-01-25,911.0,51.0
Aebischer Matthias,S,BE,1967-10-18,916.0,51.0
Marti Min Li,S,ZH,1974-06-01,915.0,51.0
Girod Bastien,G,ZH,1980-12-21,910.0,51.0
Carobbio Guscetti Marina,S,TI,1966-06-12,916.0,51.0
Maire Jacques-André,S,NE,1957-05-27,919.0,51.0
Hadorn Philipp,S,SO,1967-02-06,917.0,50.9
Nordmann Roger,S,VD,1973-03-23,913.0,50.9
Schelbert Louis,G,LU,1952-10-31,911.0,50.9
Fricker Jonas,G,AG,1977-03-30,916.0,50.8
Allemann Evi,S,BE,1978-07-16,921.0,50.6
Semadeni Silva,S,GR,1952-02-08,910.0,50.5
Köppel Roger,V,ZH,1965-03-21,926.0,50.2
Marra Ada,S,VD,1973-03-10,898.0,50.2
Feri Yvonne,S,AG,1966-03-21,886.0,50.1
Bäumle Martin,GL,ZH,1964-06-03,967.0,49.9
Piller Carrard Valérie,S,FR,1978-09-09,914.0,49.8
Arslan Sibel,G,BS,1980-06-23,895.0,49.8
Naef Martin,S,ZH,1970-11-10,890.0,49.6
Heim Bea,S,SO,1946-04-07,887.0,49.4
Leutenegger Oberholzer Susanne,S,BL,1948-03-06,879.0,49.4
Sommaruga Carlo,S,GE,1959-07-08,874.0,49.4
Tornare Manuel,S,GE,1951-04-20,878.0,49.2
Hardegger Thomas,S,ZH,1956-04-02,873.0,49.2
Guldimann Tim,S,ZH,1950-09-19,876.0,49.1
Pardini Corrado,S,BE,1965-06-19,872.0,49.1
Tschäppät Alexander,S,BE,1952-04-16,881.0,49.0
Gysi Barbara,S,SG,1964-05-14,871.0,48.9
Schwaab Jean Christophe,S,VD,1979-08-23,877.0,48.8
Kiener Nellen Margret,S,BE,1953-04-17,877.0,48.8
Barrile Angelo,S,ZH,1976-08-22,882.0,48.5
Wermuth Cédric,S,AG,1986-02-19,860.0,48.1
Nussbaumer Eric,S,BL,1960-07-11,886.0,48.0
Rytz Regula,G,BE,1962-03-02,846.0,47.6
Birrer-Heimo Prisca,S,LU,1959-02-04,848.0,47.5
Galladé Chantal,S,ZH,1972-12-17,836.0,45.6
Fridez Pierre-Alain,S,JU,1957-11-20,829.0,45.1
Amarelle Cesla,S,VD,1973-09-14,808.0,44.9
Brélaz Daniel,G,VD,1950-01-04,791.0,44.8
Badran Jacqueline,S,ZH,1961-11-12,817.0,44.6
Meyer Mattea,S,ZH,1987-11-09,828.0,44.2
Masshardt Nadine,S,BE,1984-10-04,783.0,42.4
Steiert Jean-François,S,FR,1961-02-07,604.0,41.2
Parmelin Guy,V,VD,1959-11-09,64.0,38.0
Noser Ruedi,RL,ZH,1961-04-14,64.0,38.0
Stahl Jürg,V,ZH,1968-01-16,684.0,37.1
Markwalder Christa,RL,BE,1975-07-27,511.0,30.2
Jositsch Daniel,S,ZH,1965-03-25,42.0,25.0
